cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
6 15 30 5 49300 36200
6 15 56 6 49500 40000
6 15 46 6 49400 36100
6 15 52 4 47500 34300
6 15 52 5 49900 36100
6 15 19 5 52300 37600
6 15 16 5 49100 35400
6 15 32 4 49300 33800
6 15 36 5 49300 35900
6 15 36 6 48900 38200
6 15 28 5 49600 35900
6 15 34 6 49900 36000
6 15 28 5 49100 36400
6 15 21 6 49300 38200
6 15 30 4 48100 35200
6 15 34 4 47500 34700
6 15 72 4 48100 34500
6 15 18 5 49900 35500
6 15 19 5 51400 35600
6 15 19 5 50400 38000
6 15 28 6 49700 38700
6 15 38 5 49000 37500
6 15 22 5 52300 35900
6 15 53 5 48800 38600
6 15 20 5 48900 37900
6 15 31 5 48700 37400
6 15 44 5 50600 37400
6 15 38 4 47600 34100
6 15 15 5 49300 37800
6 15 52 5 49500 36200
6 15 19 5 50500 38100
6 15 55 4 48900 35000
6 15 75 5 49500 36200
6 15 41 4 48200 34400
6 15 30 5 52600 37800
6 15 53 5 48800 35400
6 15 36 4 48800 34900
6 15 32 5 48800 38200
6 15 25 5 50100 36200
6 15 35 4 47600 34700
6 15 17 4 48100 44500
6 15 10 4 68100 34200
6 15 44 5 51000 37700
6 15 32 5 48900 35800
6 15 28 4 48900 33900
6 15 44 5 50700 36000
6 15 20 5 52800 35900
6 15 51 5 48900 38100
6 15 36 6 49100 36400
6 15 56 5 48800 35700
6 15 29 5 50300 35400
6 15 48 5 49700 38000
6 15 42 6 49300 38100
6 15 7 6 48900 36000
6 15 83 6 50500 36000
6 15 45 6 49000 36000
6 15 63 5 49100 35400
6 15 14 5 49000 35400
6 15 43 5 52700 35300
6 15 36 5 49000 36000
6 15 19 5 48800 37800
6 15 38 6 49000 38400
6 15 32 6 50800 38500
6 15 8 6 49000 35800
6 15 57 4 48900 34300
6 15 38 6 48800 38300
6 15 24 5 52800 35900
6 15 13 5 48800 37700
6 15 6 5 48800 38200
6 15 21 5 48900 35700
6 15 14 6 52200 35900
6 15 35 5 48800 37600
6 15 37 6 49400 36100
6 15 20 5 49300 36700
6 15 24 4 47900 34700
6 15 58 5 48800 36700
6 15 36 4 47900 34600
6 15 10 5 49000 38500
6 15 13 6 49300 39800
6 15 37 5 48900 36000
6 15 29 6 48900 36500
6 15 50 5 48800 36400
6 15 22 3 47600 37200
6 15 33 4 48800 34900
6 15 42 6 49100 36900
6 15 44 5 49200 36000
6 15 22 5 48700 39800
7 21 33 5 58200 39900
7 21 43 6 57100 39800
7 21 20 6 57400 39500
7 21 25 5 58900 39100
7 21 27 6 57400 37500
7 21 36 6 57500 37600
7 21 35 6 57500 42700
7 21 67 5 57000 37400
7 21 76 5 57500 39100
7 21 46 6 57300 39400
7 21 52 6 58900 39300
7 21 54 7 57300 40500
7 21 55 6 57200 37600
7 21 63 7 57400 40000
7 21 48 4 56100 36000
7 21 52 6 57300 40600
7 21 45 5 57800 39700
7 21 105 7 59700 41000
7 21 85 6 57500 37800
7 21 39 6 57200 39300
7 21 56 5 57200 39100
7 21 60 7 59000 40000
7 21 62 6 57300 39700
7 21 53 6 57200 39400
7 21 48 5 57200 38800
7 21 62 6 57300 40000
7 21 53 7 58200 40200
7 21 26 6 58300 39800
7 21 52 4 60200 36100
7 21 52 5 55900 37400
7 21 68 5 56300 39500
7 21 33 6 58500 41300
7 21 33 6 57300 39600
7 21 84 4 55800 36400
7 21 49 5 57100 37200
7 21 34 5 60900 39100
7 21 37 7 57900 38800
7 21 61 6 58200 39800
7 21 68 6 58600 41200
7 21 38 5 57500 37000
7 21 61 6 57700 39700
7 21 81 7 57400 37800
7 21 52 4 57400 35900
7 21 44 6 57000 37700
7 21 33 5 57200 37100
7 21 61 6 57100 39900
7 21 46 6 59000 40100
7 21 78 6 58000 37400
7 21 37 6 87100 44800
7 21 62 5 60300 37500
7 21 61 6 57300 40000
7 21 27 5 56000 37400
7 21 65 6 57000 38800
7 21 52 5 57200 37300
7 21 48 5 56000 39500
7 21 49 5 57200 38900
7 21 53 6 58700 37900
7 21 69 6 58600 39200
7 21 113 7 58100 40800
7 21 11 6 57300 39600
7 21 74 6 57500 37600
7 21 64 5 56300 36600
7 21 45 5 58400 37300
7 21 37 7 57800 41800
7 21 69 4 56500 35400
7 21 37 5 57200 36800
7 21 17 5 55900 37700
7 21 58 5 61200 39100
7 21 54 6 58600 39400
7 21 33 6 57700 39400
7 21 61 6 57300 45500
7 21 34 5 56200 37300
7 21 73 6 57300 39200
7 21 52 6 58800 40000
7 21 53 6 58800 39900
7 21 79 5 57200 39100
7 21 33 5 56100 36700
7 21 47 7 58100 41000
7 21 86 6 58200 39900
7 21 63 5 57500 39300
