cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
3 2 7 3 25700 26900
3 2 7 3 25600 26900
3 2 10 3 25600 27000
3 2 0 3 25600 26700
3 2 5 3 26300 27600
3 2 10 3 35900 33100
3 2 2 3 31200 27000
3 2 12 3 26400 28100
3 2 2 3 25800 27300
3 2 8 3 25800 27200
3 2 8 3 25600 27500
3 2 2 3 26300 27100
3 2 9 3 28400 27000
3 2 10 3 25600 26900
3 2 10 3 25600 27000
3 2 8 3 29700 27500
3 2 8 3 25900 27900
3 2 6 3 25800 27600
3 2 1 3 25800 29900
3 2 16 3 25700 27500
3 2 12 3 25700 27100
3 2 8 3 25600 27000
3 2 2 3 26200 27400
3 2 6 3 34600 27200
3 2 8 3 31300 27300
3 2 11 3 31100 27300
3 2 9 3 25700 27000
3 2 10 3 25600 27000
3 2 1 3 26200 27500
3 2 3 3 26100 27600
3 2 6 3 28200 27000
3 2 8 3 25700 31900
3 2 7 3 25800 27400
3 2 4 3 25900 27200
3 2 12 3 25500 27200
3 2 2 3 26400 27200
3 2 10 3 25900 27200
3 2 15 3 25700 27100
3 2 7 3 27400 27000
3 2 7 3 25800 27100
3 2 7 3 25600 31500
3 2 13 3 31900 27500
3 2 5 3 30900 27000
3 2 12 3 25700 27100
3 2 11 3 25700 34700
3 2 7 3 25600 27100
3 2 10 3 26200 27100
3 2 11 3 25900 27300
3 2 6 3 25700 27000
3 2 14 3 25600 27300
3 2 9 3 25700 27200
3 2 12 3 25600 28800
3 2 3 3 26000 27700
3 2 13 3 26100 27000
3 3 1 3 26300 27100
3 3 10 3 25700 28700
3 3 2 3 25800 26600
3 3 8 3 25600 27000
3 3 1 3 27600 29900
3 3 13 3 33000 27200
3 3 14 3 31000 26900
3 3 4 3 25800 27000
3 3 1 3 25800 28800
3 3 8 3 28100 28700
3 3 3 3 30200 29000
3 3 2 3 25800 28900
3 3 8 3 25600 29000
3 3 3 3 25700 26900
3 3 7 3 25800 28700
3 3 3 3 25700 28800
3 3 12 3 25700 28900
3 3 6 3 25700 26800
3 3 11 3 25600 27000
3 3 2 3 25700 28900
4 3 29 3 32400 29800
4 3 17 3 32400 28500
4 3 20 4 39100 34300
4 3 12 4 37200 30600
4 3 30 4 32400 30500
