cantServidores cantEnlaces costoDelAGM maxPathSize tiempoConsultora1 tiempoConsultora2 
2 1 3 2 23600 23900
2 1 2 2 19000 23900
2 1 3 2 18900 23800
2 1 1 2 19000 24500
2 1 2 2 19000 24100
2 1 3 2 19000 24000
2 1 2 2 19000 23900
2 1 2 2 18900 23800
2 1 0 2 18900 30100
2 1 1 2 19100 23800
2 1 2 2 22100 31800
2 1 0 2 24200 24200
2 1 2 2 19200 24000
2 1 2 2 19000 23900
2 1 0 2 18900 28000
2 1 0 2 19000 23900
2 1 0 2 23000 23900
2 1 1 2 19000 24200
2 1 2 2 19300 24100
2 1 1 2 19000 24200
2 1 3 2 19100 23900
2 1 0 2 19000 23800
2 1 3 2 19000 24400
2 1 1 2 19200 23900
2 1 3 2 22000 24000
2 1 0 2 19000 23900
2 1 2 2 18900 23900
2 1 0 2 19400 24300
2 1 0 2 19100 24100
2 1 2 2 19000 24000
2 1 2 2 19000 23900
2 1 0 2 19000 29300
2 1 0 2 359000 24300
2 1 3 2 18900 28400
2 1 3 2 19400 24100
2 1 3 2 19400 24100
3 3 5 3 26300 29600
3 3 3 3 26100 28900
3 3 5 3 25800 29000
3 2 7 3 25700 26800
3 2 3 3 25500 31200
3 2 10 3 26000 27100
3 2 6 3 25900 27100
3 2 7 3 25700 32100
3 3 7 3 31000 29200
3 3 1 3 30900 31200
3 2 0 3 26000 32700
3 2 10 3 25600 27600
3 2 10 3 25900 27400
3 2 9 3 25900 27000
3 3 3 3 25800 28900
3 3 3 3 25800 26900
3 2 8 3 25700 27100
3 2 9 3 28600 27700
3 3 6 3 26000 29300
3 3 5 3 26000 29000
3 3 4 3 25800 28800
3 3 2 3 26000 27100
3 3 4 3 25800 27300
3 2 10 3 26200 29200
3 2 10 3 26100 31300
3 2 8 3 25800 38500
3 2 1 3 32400 27500
3 3 8 3 25900 29100
3 3 9 3 25700 29200
3 2 0 3 26400 27300
3 3 8 3 34400 27700
3 2 7 3 25800 27200
3 3 10 3 25900 29100
3 2 13 3 26300 27200
3 2 6 3 26000 27100
3 3 4 3 25900 28600
3 3 5 3 25800 32500
3 2 7 3 25900 27200
3 2 11 3 25800 27000
3 3 4 3 25800 26700
3 2 7 3 25600 26700
3 2 15 3 25700 26700
3 3 6 3 28800 37600
3 3 6 3 32800 29300
3 3 11 3 26000 29000
3 2 4 3 25700 27000
3 2 15 3 25700 26900
3 3 5 3 25700 29400
3 2 9 3 26000 27200
3 3 0 3 26000 36900
3 3 5 3 25900 28900
3 3 3 3 25800 29000
3 2 0 3 25700 27000
3 2 13 3 40500 27900
3 2 11 3 26400 27100
3 2 5 3 26100 31100
3 2 3 3 25800 27100
3 3 6 3 25800 27700
3 2 4 3 25900 27400
3 3 2 3 26000 27100
3 2 9 3 37000 27600
3 2 4 3 31300 27000
3 2 7 3 29600 26700
3 2 6 3 25700 27000
3 3 4 3 25800 26900
3 2 13 3 25600 27100
3 2 11 3 25600 27700
3 3 9 3 26300 29000
3 3 6 3 26000 34600
3 3 5 3 25900 28900
3 2 11 3 25700 26700
3 3 5 3 25900 28800
3 3 6 3 26200 29500
3 2 10 3 25900 27200
3 3 5 3 28300 28900
3 2 7 3 28400 27500
3 3 5 3 26000 27400
3 3 4 3 26000 39900
3 3 8 3 31200 27800
3 3 11 3 26100 29500
3 2 10 3 25700 27600
3 2 1 3 30800 27600
3 2 9 3 25600 26900
3 3 7 3 25800 28600
3 3 5 3 25700 29000
3 3 7 3 33000 50600
3 2 6 3 29800 26800
3 2 4 3 31300 26900
3 2 10 3 25600 26800
3 2 1 3 25600 26900
3 3 4 3 25800 28800
3 3 6 3 25700 27100
