fabricas clientes rutas costo cantaristas tiempo 
7 12 171 214 12 57 
7 12 171 179 12 57 
7 12 171 410 12 57 
7 12 171 211 12 57 
7 12 171 139 12 57 
7 12 171 346 12 59 
8 11 171 325 11 56 
8 11 171 292 11 56 
8 11 171 206 11 58 
8 11 171 251 11 57 
8 11 171 108 11 57 
8 11 171 166 11 56 
8 11 171 195 11 57 
8 11 171 158 11 61 
8 11 171 271 11 56 
8 11 171 331 11 56 
1 19 190 493 19 71 
1 19 190 615 19 71 
1 19 190 338 19 70 
1 19 190 497 19 70 
1 19 190 589 19 70 
1 19 190 738 19 70 
1 19 190 711 19 71 
1 19 190 477 19 70 
1 19 190 263 19 70 
1 19 190 473 19 70 
2 18 190 358 18 68 
2 18 190 380 18 69 
2 18 190 528 18 69 
2 18 190 396 18 68 
2 18 190 291 18 69 
2 18 190 376 18 68 
2 18 190 368 18 68 
2 18 190 351 18 77 
2 18 190 300 18 92 
2 18 190 460 18 83 
3 17 190 342 17 66 
3 17 190 437 17 67 
3 17 190 345 17 68 
3 17 190 443 17 66 
3 17 190 339 17 67 
3 17 190 470 17 67 
3 17 190 388 17 67 
3 17 190 488 17 66 
3 17 190 469 17 68 
3 17 190 280 17 67 
4 16 190 354 16 65 
4 16 190 338 16 67 
4 16 190 303 16 65 
4 16 190 433 16 65 
4 16 190 427 16 66 
4 16 190 459 16 65 
4 16 190 272 16 65 
4 16 190 232 16 66 
4 16 190 384 16 65 
4 16 190 416 16 65 
5 15 190 357 15 64 
5 15 190 322 15 69 
5 15 190 260 15 63 
5 15 190 357 15 64 
5 15 190 285 15 64 
5 15 190 283 15 64 
5 15 190 256 15 64 
5 15 190 308 15 65 
5 15 190 149 15 65 
5 15 190 617 15 64 
6 14 190 324 14 62 
6 14 190 380 14 62 
6 14 190 286 14 63 
6 14 190 240 14 62 
6 14 190 299 14 62 
6 14 190 382 14 61 
6 14 190 410 14 62 
6 14 190 414 14 62 
6 14 190 306 14 62 
6 14 190 377 14 62 
7 13 190 177 13 61 
7 13 190 298 13 61 
7 13 190 296 13 61 
7 13 190 316 13 61 
7 13 190 305 13 60 
7 13 190 319 13 61 
7 13 190 391 13 61 
7 13 190 220 13 61 
7 13 190 215 13 61 
7 13 190 171 13 61 
8 12 190 241 12 60 
8 12 190 255 12 59 
8 12 190 338 12 59 
8 12 190 230 12 59 
8 12 190 188 12 59 
8 12 190 188 12 60 
8 12 190 228 12 59 
8 12 190 165 12 60 
8 12 190 213 12 60 
8 12 190 386 12 60 
9 11 190 183 11 63 
9 11 190 220 11 58 
9 11 190 268 11 59 
9 11 190 316 11 58 
9 11 190 99 11 59 
9 11 190 215 11 59 
9 11 190 181 11 59 
9 11 190 297 11 59 
9 11 190 385 11 58 
9 11 190 239 11 58 
1 20 210 415 20 75 
1 20 210 489 20 73 
1 20 210 535 20 74 
1 20 210 483 20 73 
1 20 210 499 20 75 
1 20 210 689 20 75 
1 20 210 366 20 74 
1 20 210 473 20 78 
1 20 210 853 20 74 
1 20 210 698 20 75 
2 19 210 537 19 76 
2 19 210 257 19 72 
2 19 210 424 19 72 
2 19 210 368 19 87 
2 19 210 638 19 97 
2 19 210 416 19 90 
2 19 210 516 19 73 
2 19 210 329 19 75 
2 19 210 512 19 72 
2 19 210 389 19 73 
3 18 210 545 18 71 
3 18 210 395 18 71 
3 18 210 666 18 72 
3 18 210 598 18 71 
3 18 210 452 18 71 
3 18 210 302 18 71 
3 18 210 354 18 71 
3 18 210 393 18 70 
3 18 210 389 18 72 
3 18 210 331 18 71 
4 17 210 421 17 70 
4 17 210 474 17 69 
4 17 210 324 17 69 
4 17 210 473 17 69 
4 17 210 493 17 69 
4 17 210 366 17 69 
4 17 210 516 17 70 
4 17 210 412 17 69 
4 17 210 306 17 70 
4 17 210 278 17 69 
5 16 210 351 16 69 
5 16 210 421 16 67 
5 16 210 259 16 68 
5 16 210 367 16 68 
5 16 210 425 16 72 
5 16 210 348 16 68 
5 16 210 479 16 67 
5 16 210 378 16 69 
5 16 210 351 16 67 
5 16 210 419 16 68 
6 15 210 508 15 66 
6 15 210 251 15 66 
6 15 210 328 15 67 
6 15 210 213 15 66 
6 15 210 301 15 67 
6 15 210 346 15 66 
6 15 210 410 15 67 
