fabricas clientes rutas costo cantaristas tiempo 
4 14 14 2345 14 54 
4 14 14 2896 14 55 
4 14 14 1944 14 55 
4 14 14 1443 14 54 
4 14 14 1926 14 55 
4 14 14 2197 14 55 
4 14 14 2283 14 49 
4 14 14 2049 14 49 
4 14 14 2237 14 56 
5 13 13 2190 13 55 
5 13 13 2720 13 54 
5 13 13 2496 13 53 
5 13 13 2239 13 55 
5 13 13 1786 13 55 
5 13 13 2400 13 54 
5 13 13 2376 13 48 
5 13 13 2067 13 49 
5 13 13 2201 13 49 
5 13 13 1504 13 48 
6 12 12 1705 12 47 
6 12 12 2188 12 47 
6 12 12 1757 12 47 
6 12 12 1822 12 47 
6 12 12 1666 12 47 
6 12 12 1511 12 47 
6 12 12 1649 12 54 
6 12 12 2099 12 47 
6 12 12 2451 12 47 
6 12 12 1659 12 47 
7 11 11 2034 11 45 
7 11 11 1757 11 46 
7 11 11 1210 11 46 
7 11 11 1850 11 46 
7 11 11 1702 11 46 
7 11 11 1765 11 46 
7 11 11 1580 11 45 
7 11 11 1756 11 46 
7 11 11 1330 11 52 
7 11 11 1561 11 52 
8 10 10 1544 10 51 
8 10 10 1603 10 45 
8 10 10 1652 10 45 
8 10 10 1305 10 46 
8 10 10 1740 10 45 
8 10 10 2091 10 44 
8 10 10 1774 10 45 
8 10 10 1574 10 44 
8 10 10 1622 10 45 
8 10 10 1850 10 44 
1 18 18 2737 18 55 
1 18 18 3390 18 56 
1 18 18 3574 18 55 
1 18 18 3032 18 56 
1 18 18 2758 18 54 
1 18 18 2918 18 56 
1 18 18 4124 18 56 
1 18 18 2623 18 57 
1 18 18 3194 18 56 
1 18 18 3674 18 56 
2 17 17 3058 17 55 
2 17 17 3350 17 54 
2 17 17 2754 17 55 
2 17 17 3011 17 55 
2 17 17 2805 17 54 
2 17 17 2342 17 55 
2 17 17 2689 17 55 
2 17 17 3684 17 76 
2 17 17 2964 17 78 
2 17 17 3157 17 79 
3 16 16 3838 16 77 
3 16 16 2405 16 78 
3 16 16 2742 16 77 
3 16 16 2186 16 78 
3 16 16 3112 16 77 
3 16 16 4166 16 73 
3 16 16 2124 16 72 
3 16 16 3376 16 69 
3 16 16 3108 16 76 
3 16 16 3181 16 70 
4 15 15 2738 15 51 
