Trabajos,CantEnMaquina,Ticks,Resultado,Caso
111,55,0.025899,-1750836736,Random+4
573,294,0.954617,166643358,Random+4
854,435,3.75261,248553449,Random
856,416,3.80664,250542659,Random+4
992,492,4.77393,704736256,Random+4
95,47,0.017723,940328091,Random+4
818,384,3.01668,248214830,Random+4
803,398,3.11304,-1065992438,Random+4
964,487,4.5831,277971753,Random
287,150,0.248557,91113886,Random
734,383,2.13366,220897521,Random+4
837,402,2.60386,-1956096983,Random+4
25,13,0.001015,-1786724028,Random+4
78,44,0.00914,-765061748,Random+4
777,387,2.61845,215576463,Random
140,69,0.043347,41730143,Random
406,189,0.633681,116683311,Random
858,427,3.20411,160442860,Random+4
985,494,5.00239,299606580,Random+4
266,138,0.185261,84148870,Random+4
906,449,3.99143,255524307,Random
147,75,0.051378,44096368,Random
769,379,2.60055,233484310,Random+4
187,90,0.08692,59541151,Random+4
448,236,0.810218,130594292,Random
161,82,0.05465,50380600,Random+4
456,215,0.496362,132781842,Random
311,155,0.180765,92818469,Random
955,465,4.24225,1287960225,Random+4
583,280,1.17781,184193157,Random+4
809,420,2.68296,240888463,Random
813,421,3.01538,-67864796,Random+4
590,275,1.41761,-951099659,Random+4
786,389,2.87769,227147512,Random
996,497,5.26601,291746202,Random+4
231,129,0.13309,67771037,Random+4
661,324,1.63596,1870020635,Random+4
214,104,0.082756,-15265844,Random+4
426,216,0.61395,-227848434,Random+4
926,440,4.24741,267326169,Random
214,127,0.132453,58317071,Random
127,74,0.036465,34192712,Random
913,438,4.08909,266341559,Random+4
966,475,4.4148,-1879544711,Random+4
21,10,0.001027,2107638618,Random+4
346,182,0.339783,339394135,Random+4
73,43,0.011491,-1268403147,Random+4
169,79,0.068697,-229420397,Random+4
793,394,2.75741,237773390,Random+4
588,293,1.77875,172578171,Random+4
988,475,5.01628,287065653,Random
873,429,3.6087,1656792188,Random+4
1,1,3.1e-05,100276763,Random+4
19,10,0.000845,1906778714,Random+4
22,13,0.001112,-2088114955,Random+4
224,106,0.119094,989577833,Random+4
278,48,0.211203,-2147340875,Random+4
852,443,3.76812,250286537,Random+4
45,20,0.004243,15574473,Random+4
172,93,0.074388,51231687,Random+4
968,487,4.83358,266711522,Random
871,455,4.26893,1449525864,Random+4
127,65,0.034735,37549480,Random
341,161,0.330245,-157721968,Random+4
767,388,2.67479,225894688,Random+4
760,400,2.57351,219783948,Random
550,272,1.33227,162808860,Random+4
145,73,0.046652,44478699,Random+4
754,388,2.66137,-1678632315,Random+4
432,220,0.514459,128040806,Random
574,297,1.11248,177666754,Random+4
172,82,0.067835,52012673,Random+4
81,32,0.014141,25254414,Random+4
608,324,1.80444,178018038,Random+4
821,407,3.22538,236401616,Random
339,171,0.346409,100685017,Random
884,442,3.98853,-1533351661,Random+4
493,248,0.977672,145401494,Random+4
255,137,0.158595,75943505,Random
237,111,0.125379,68752215,Random+4
332,163,0.258128,-1069137928,Random+4
423,224,0.565259,-527123476,Random+4
336,168,0.376324,-656660263,Random+4
193,113,0.095389,-2121126721,Random+4
293,145,0.271999,-684172338,Random+4
650,318,1.58329,200999409,Random+4
511,270,1.02801,159477870,Random+4
388,193,0.566261,117649567,Random+4
965,495,4.77895,280905558,Random
425,207,0.631187,118470070,Random
677,363,2.32536,213382623,Random+4
879,442,4.12386,-2037211220,Random+4
53,27,0.005813,1023170217,Random+4
325,174,0.258307,94864599,Random+4
354,164,0.316568,1145977000,Random+4
581,285,1.30598,174064642,Random+4
755,365,2.69773,-1587400846,Random+4
222,123,0.140406,791792089,Random+4
171,82,0.070811,-27771866,Random+4
905,431,3.9426,270415173,Random
624,309,1.72658,-1843332129,Random+4
600,300,1.47333,172714129,Random
996,508,5.45894,301673793,Random+4
429,226,0.770511,125952073,Random+4
734,365,2.55947,207530416,Random
935,458,4.71239,-716768030,Random+4
491,236,1.13674,1993502087,Random+4
820,407,3.37416,233378859,Random
555,275,1.43079,150794930,Random
984,496,5.44057,305047387,Random+4
814,382,3.17246,30390271,Random+4
593,264,1.40229,170482804,Random
100,48,0.021158,29067114,Random
651,321,1.71765,190565415,Random+4
146,79,0.047112,42263137,Random+4
817,420,3.10666,331225724,Random+4
449,397,0.711724,-2147229301,Random+4
820,419,3.54399,257488964,Random+4
306,153,0.31501,90623802,Random+4
100,51,0.020996,28728247,Random+4
971,486,5.00368,266770747,Random
548,280,1.07687,-871406710,Random+4
617,324,1.46916,191457708,Random+4
748,40,2.4764,-2147466429,Random+4
82,43,0.014618,-368934207,Random+4
761,377,2.63604,221201796,Random
279,137,0.193332,-2079521178,Random+4
45,26,0.004262,218005865,Random+4
49,30,0.005085,619823914,Random+4
706,331,2.09713,219462384,Random+4
431,219,0.612424,133760103,Random+4
162,82,0.060566,45933117,Random+4
310,150,0.310312,96919398,Random+4
118,55,0.030371,37322429,Random+4
456,235,0.847252,139054353,Random+4
980,468,5.16446,283324598,Random
971,477,4.90097,-1394251978,Random+4
